ID,Name,Price in USD,Price in SGD
192/167,Hearthflame Mask Ogerpon ex [Fire] [UR - Ultra Rare] (Foil),3.99,5.4
193/167,Palafin ex [Water] [UR - Ultra Rare] (Foil),2.99,4.0
194/167,Wellspring Mask Ogerpon ex [Water] [UR - Ultra Rare] (Foil),4.99,6.7
195/167,Luxray ex [Lightning] [UR - Ultra Rare] (Foil),3.49,4.7
196/167,Iron Thorns ex [Lightning] [UR - Ultra Rare] (Foil),7.49,10.1
197/167,Scream Tail ex [Psychic] [UR - Ultra Rare] (Foil),2.49,3.4
198/167,Greninja ex [Fighting] [UR - Ultra Rare] (Foil),8.99,12.1
199/167,Cornerstone Mask Ogerpon ex [Fighting] [UR - Ultra Rare] (Foil),5.99,8.1
200/167,Dragapult ex [Dragon] [UR - Ultra Rare] (Foil),19.99,27.0
201/167,Blissey ex [Colorless] [UR - Ultra Rare] (Foil),5.99,8.1
202/167,Bloodmoon Ursaluna ex [Colorless] [UR - Ultra Rare] (Foil),6.49,8.8
203/167,Caretaker [Supporter] [UR - Ultra Rare] (Foil),2.29,3.1
204/167,Carmine [Supporter] [UR - Ultra Rare] (Foil),12.99,17.5
205/167,Hassel [Supporter] [UR - Ultra Rare] (Foil),2.99,4.0
206/167,Kieran [Supporter] [UR - Ultra Rare] (Foil),6.99,9.4
207/167,Lana's Aid [Supporter] [UR - Ultra Rare] (Foil),5.99,8.1
208/167,Lucian [Supporter] [UR - Ultra Rare] (Foil),2.49,3.4
209/167,Perrin [Supporter] [UR - Ultra Rare] (Foil),6.99,9.4
210/167,Sinistcha ex [Grass] [SIR - Special Illustration Rare] (Foil),24.99,33.8
